comuna,precio_93,precio_95,diesel
Arica,,,
Arica,1580.0,1610.0,1401.0
Arica,1576.0,1605.0,1399.0
Arica,1580.0,1608.0,1400.0
Arica,1568.0,1597.0,1391.0
Arica,1580.0,1608.0,1400.0
Arica,1572.0,1602.0,1393.0
Arica,1580.0,1608.0,1401.0
Arica,,,
Arica,,,
Arica,,,1329.0
Arica,,,1320.0
Arica,,,1339.0
Arica,,,1391.0
Arica,,1580.0,1385.0
Arica,,,
Arica,1582.0,1611.0,1403.0
Arica,1578.0,1606.0,1401.0
Arica,1580.0,1608.0,1400.0
Arica,1580.0,1608.0,1401.0
Arica,1580.0,1610.0,1401.0
Arica,1580.0,1608.0,1400.0
Arica,,1587.0,1255.0
Iquique,15700.0,15950.0,13860.0
Iquique,1570.0,1595.0,1386.0
Iquique,,,1362.0
Iquique,1658.0,1687.0,1487.0
Iquique,1643.0,1673.0,1481.0
Iquique,1570.0,1595.0,1386.0
Iquique,1568.0,1593.0,1375.0
Iquique,1568.0,1593.0,1375.0
Iquique,1662.0,1692.0,1491.0
Iquique,1656.0,1687.0,1609.0
Iquique,1568.0,1594.0,1375.0
Iquique,1572.0,1595.0,1379.0
Iquique,1568.0,1594.0,1375.0
Iquique,1568.0,1593.0,1375.0
Iquique,1570.0,1595.0,1386.0
Iquique,1553.0,1579.0,1362.0
Iquique,1570.0,1595.0,1386.0
Alto Hospicio,,,
Alto Hospicio,1568.0,1593.0,1375.0
Alto Hospicio,1568.0,1594.0,1375.0
Alto Hospicio,1568.0,1594.0,1375.0
Alto Hospicio,,,1362.0
Alto Hospicio,,,1372.0
Alto Hospicio,1568.0,1594.0,1375.0
Alto Hospicio,1568.0,1594.0,1375.0
Pozo Almonte,1581.0,1606.0,1393.0
Pozo Almonte,,,1393.0
Pozo Almonte,1581.0,1606.0,1393.0
Pica,1583.0,1608.0,1395.0
Antofagasta,,,
Antofagasta,1584.0,1617.0,1402.0
Antofagasta,1584.0,1617.0,1402.0
Antofagasta,1584.0,1617.0,1402.0
Antofagasta,,,
Antofagasta,1589.0,1621.0,1408.0
Antofagasta,1586.0,1619.0,1405.0
Antofagasta,1584.0,1617.0,1403.0
Antofagasta,,,
Antofagasta,1584.0,1617.0,1402.0
Antofagasta,1586.0,1619.0,1404.0
Antofagasta,1584.0,1617.0,1402.0
Antofagasta,1584.0,1617.0,1407.0
Antofagasta,1584.0,1617.0,1402.0
Antofagasta,1589.0,1621.0,1408.0
Antofagasta,1591.0,1624.0,1404.0
Antofagasta,1591.0,1624.0,1405.0
Antofagasta,1591.0,1623.0,1405.0
Antofagasta,1589.0,1622.0,1403.0
Antofagasta,1589.0,1622.0,1402.0
Antofagasta,1589.0,1622.0,1402.0
Antofagasta,1589.0,1622.0,1402.0
Antofagasta,1584.0,1617.0,1402.0
Antofagasta,1586.0,1619.0,1405.0
Antofagasta,1586.0,1619.0,1405.0
Antofagasta,1584.0,1617.0,1402.0
Antofagasta,1589.0,1621.0,1408.0
Antofagasta,1584.0,1617.0,1403.0
Mejillones,1590.0,1620.0,1408.0
Taltal,1583.0,1614.0,1407.0
Taltal,1577.0,1611.0,1412.0
Taltal,1585.0,1615.0,1409.0
Calama,1600.0,1628.0,1420.0
Calama,1601.0,1628.0,1420.0
Calama,1600.0,1628.0,1420.0
Calama,1690.0,1628.0,1420.0
Calama,1600.0,1628.0,1420.0
Calama,1600.0,1628.0,1420.0
Calama,1600.0,1628.0,1420.0
Calama,1600.0,1628.0,1420.0
Calama,1600.0,1628.0,1420.0
Calama,1601.0,1628.0,1420.0
San Pedro de Atacama,1602.0,1630.0,1421.0
Tocopilla,1589.0,1620.0,1409.0
Tocopilla,1589.0,1620.0,1409.0
Tocopilla,1589.0,1620.0,1409.0
María Elena,1591.0,1622.0,1411.0
Copiapó,,,
Copiapó,1572.0,1605.0,1401.0
Copiapó,1572.0,1605.0,1402.0
Copiapó,1560.0,1594.0,1389.0
Copiapó,1572.0,1606.0,1403.0
Copiapó,1574.0,1607.0,1403.0
Copiapó,1573.0,1606.0,1403.0
Copiapó,1572.0,1604.0,1399.0
Copiapó,1572.0,1603.0,1398.0
Copiapó,1576.0,1608.0,1405.0
Copiapó,1572.0,1606.0,1409.0
Copiapó,,,
Copiapó,1574.0,1607.0,1403.0
Copiapó,1572.0,1605.0,1401.0
Copiapó,1572.0,1604.0,1402.0
Copiapó,1572.0,1606.0,1409.0
Copiapó,1572.0,1605.0,1401.0
Copiapó,1572.0,1603.0,1398.0
Caldera,1574.0,1609.0,1405.0
Caldera,1574.0,1609.0,1405.0
Tierra Amarilla,1571.0,1603.0,1398.0
Chañaral,1573.0,1607.0,1407.0
Chañaral,1573.0,1607.0,1407.0
Chañaral,,,
Chañaral,1573.0,1606.0,1407.0
Diego de Almagro,1568.0,1602.0,1402.0
Diego de Almagro,1568.0,1602.0,1402.0
Diego de Almagro,1568.0,1602.0,1402.0
Vallenar,1586.0,1618.0,1410.0
Vallenar,1578.0,1611.0,1402.0
Vallenar,1586.0,1619.0,1410.0
Vallenar,1586.0,1618.0,1410.0
Vallenar,1586.0,1619.0,1410.0
Vallenar,1586.0,1618.0,1410.0
Vallenar,1586.0,1619.0,1410.0
Huasco,1586.0,1621.0,1409.0
Huasco,1586.0,1621.0,1409.0
La Serena,,,
La Serena,1572.0,1608.0,1403.0
La Serena,1572.0,1608.0,1405.0
La Serena,1558.0,1594.0,1379.0
La Serena,1572.0,1608.0,1403.0
La Serena,1566.0,1602.0,1387.0
La Serena,1563.0,1599.0,1385.0
La Serena,1571.0,1607.0,1399.0
La Serena,1572.0,1608.0,1405.0
La Serena,1571.0,1607.0,1399.0
La Serena,1566.0,1602.0,1387.0
La Serena,1572.0,1608.0,1405.0
La Serena,1572.0,1608.0,1403.0
La Serena,1571.0,1607.0,1399.0
La Serena,,,
La Serena,1566.0,1602.0,1387.0
La Serena,1572.0,1608.0,1405.0
La Serena,1566.0,1602.0,1387.0
La Serena,1566.0,1602.0,1387.0
La Serena,,,
La Serena,1566.0,1602.0,1387.0
La Serena,1571.0,1607.0,1399.0
La Serena,1566.0,1602.0,1387.0
La Serena,,,
La Serena,1566.0,1602.0,1387.0
La Serena,1566.0,1602.0,1387.0
La Serena,1572.0,1608.0,1403.0
Coquimbo,,,
Coquimbo,1559.0,1595.0,1389.0
Coquimbo,1559.0,1595.0,1389.0
Coquimbo,1572.0,1609.0,1405.0
Coquimbo,1559.0,1595.0,1389.0
Coquimbo,1562.0,1598.0,1387.0
Coquimbo,,,1405.0
Coquimbo,1566.0,1602.0,1387.0
Coquimbo,1562.0,1598.0,1387.0
Coquimbo,,,
Coquimbo,1559.0,1595.0,1389.0
Coquimbo,1564.0,,1385.0
Coquimbo,1556.0,,1386.0
Coquimbo,1572.0,1609.0,1405.0
Coquimbo,1562.0,1598.0,1392.0
Coquimbo,1559.0,1595.0,1389.0
Coquimbo,1572.0,1608.0,1405.0
Coquimbo,1562.0,1598.0,1392.0
Coquimbo,,,
Coquimbo,1562.0,1598.0,1387.0
Coquimbo,1566.0,1602.0,1387.0
Coquimbo,1562.0,1598.0,1387.0
Coquimbo,1566.0,1602.0,1387.0
Coquimbo,1572.0,1609.0,1405.0
Andacollo,1566.0,1576.0,1387.0
Vicuña,1576.0,1612.0,1402.0
Vicuña,1581.0,1617.0,1407.0
Vicuña,1576.0,1612.0,1402.0
Illapel,1515.0,1556.0,1352.0
Illapel,1520.0,1560.0,1357.0
Illapel,1515.0,1556.0,1352.0
Canela,1593.0,1625.0,1386.0
Canela,1518.0,1560.0,1358.0
Los Vilos,1518.0,1560.0,1386.0
Los Vilos,1518.0,1560.0,1348.0
Los Vilos,1518.0,1560.0,1348.0
Los Vilos,1518.0,1560.0,1348.0
Los Vilos,1518.0,1560.0,1348.0
Los Vilos,1520.0,1561.0,1350.0
Salamanca,,,1651.0
Salamanca,1520.0,1560.0,1351.0
Salamanca,1520.0,1560.0,1351.0
Ovalle,,,
Ovalle,1556.0,1589.0,1386.0
Ovalle,1556.0,1589.0,1389.0
Ovalle,1572.0,1608.0,1405.0
Ovalle,1556.0,1589.0,1386.0
Ovalle,1556.0,1589.0,1389.0
Ovalle,1556.0,1589.0,1386.0
Ovalle,1556.0,1589.0,1389.0
Ovalle,1555.0,1589.0,1389.0
Ovalle,1553.0,1587.0,1387.0
Ovalle,1556.0,1589.0,1386.0
Ovalle,1649.0,1688.0,1505.0
Ovalle,1556.0,1589.0,1386.0
Combarbalá,1560.0,1593.0,1390.0
Monte Patria,1578.0,1610.0,1411.0
Punitaqui,1556.0,1589.0,1386.0
Valparaíso,,,
Valparaíso,1459.0,1513.0,1325.0
Valparaíso,1459.0,1513.0,1321.0
Valparaíso,1459.0,1513.0,1325.0
Valparaíso,1509.0,1555.0,1342.0
Valparaíso,1459.0,1513.0,1325.0
Valparaíso,1447.0,1499.0,1311.0
Valparaíso,,,1321.0
Valparaíso,1447.0,1499.0,1311.0
Valparaíso,1444.0,1491.0,1315.0
Valparaíso,1507.0,1552.0,1339.0
Valparaíso,1445.0,1500.0,1312.0
Valparaíso,1509.0,1555.0,1342.0
Valparaíso,1447.0,1499.0,1311.0
Valparaíso,1459.0,1513.0,1321.0
Valparaíso,1509.0,1555.0,1342.0
Valparaíso,1447.0,1499.0,1311.0
Valparaíso,1459.0,1513.0,1322.0
Valparaíso,1446.0,1491.0,1316.0
